Time,Altitude (m),Speed (km/h),Latitude,Longitude,Battery (%),Warnings
12:11:20,511.52,86.42,33.766618,72.833255,66.2,GPS Signal Weak
12:11:21,867.75,106.01,33.549659,73.211976,40.2,GPS Signal Weak
12:11:22,676.88,29.5,33.840914,73.283127,87.6,GPS Signal Weak
12:11:23,185.84,55.59,33.773799,73.086547,92.0,
12:11:24,487.06,99.6,33.924225,73.122281,79.8,
12:11:25,380.08,78.47,33.883223,73.002929,57.8,
12:11:26,512.97,78.34,33.911994,73.110734,21.6,Low Battery
12:11:27,662.02,97.84,33.588106,73.027566,61.6,
12:11:28,813.54,98.26,33.76612,72.87119,40.8,
12:11:29,595.73,113.12,33.8205,73.16274,69.9,
12:11:30,468.91,128.43,33.670222,73.164586,88.8,"High Speed,GPS Signal Weak"
12:11:30,950.77,98.34,33.559509,73.258176,55.5,
12:11:31,170.03,71.89,33.549074,72.999143,91.0,GPS Signal Weak
12:11:36,819.89,84.37,33.686147,73.160784,46.0,GPS Signal Weak
12:11:42,721.54,14.57,33.917214,73.261472,76.3,GPS Signal Weak
12:11:47,464.81,89.38,33.605273,73.153708,93.8,
12:11:53,833.1,129.3,33.803458,72.940502,73.1,High Speed
12:11:59,440.22,73.44,33.846891,73.224309,53.3,
12:12:05,765.34,44.02,33.868353,72.802795,81.7,
12:12:11,481.56,12.48,33.578279,73.17947,26.5,Low Battery
12:12:17,692.99,124.46,33.650235,73.139404,92.2,High Speed
12:12:23,490.91,82.69,33.771441,73.091145,45.3,
12:12:30,569.02,87.84,33.659561,73.094038,35.7,
12:12:35,604.57,24.22,33.745401,73.180811,87.4,GPS Signal Weak
12:12:41,112.69,74.88,33.815324,72.863711,58.8,
12:12:47,830.28,29.45,33.756434,73.100885,29.8,Low Battery
12:12:53,952.8,89.62,33.932082,72.941121,33.2,
12:12:59,935.33,91.03,33.76426,73.298381,44.9,GPS Signal Weak
12:13:05,490.02,108.2,33.840027,73.099625,79.0,GPS Signal Weak
12:13:11,425.81,133.87,33.905178,73.233996,56.6,High Speed
12:13:17,995.37,38.39,33.717828,72.945636,44.4,
12:13:23,971.37,109.66,33.863952,72.865646,58.9,
12:13:29,902.82,62.92,33.675844,73.010753,23.3,Low Battery
12:13:35,625.92,148.88,33.512642,73.119049,34.1,High Speed
12:13:41,655.47,116.43,33.923885,73.018599,31.1,
12:13:47,386.35,105.9,33.881643,73.197033,30.7,
12:13:53,807.06,54.12,33.797568,73.218428,80.1,
12:13:59,529.9,23.41,33.808725,72.921715,59.4,
12:14:05,921.22,69.7,33.53097,72.848969,30.5,
12:14:11,478.21,72.58,33.511546,73.107014,87.0,
12:14:17,520.86,32.28,33.992166,73.174484,89.0,
12:14:23,827.14,136.96,33.854189,72.971475,80.0,High Speed
12:14:29,370.95,19.6,33.892785,72.833235,65.3,
12:14:35,923.73,42.99,33.551694,73.095423,37.9,
12:14:41,210.03,133.1,33.977669,72.917875,36.6,High Speed
12:14:48,901.74,149.75,33.528183,72.934066,35.4,High Speed
12:14:54,837.43,123.0,33.596904,73.062709,92.9,High Speed
12:14:59,881.79,73.87,33.809627,72.839934,75.5,
12:15:06,463.36,128.13,33.60624,73.2763,34.0,"High Speed,GPS Signal Weak"
12:15:12,118.05,145.39,33.951942,73.155151,68.1,High Speed
12:15:18,941.99,37.19,33.561372,72.936825,46.0,
12:15:24,445.74,115.57,33.761584,73.098942,26.1,Low Battery
12:15:30,210.23,50.99,33.633637,73.219964,88.6,
12:15:36,458.7,114.59,33.854221,73.067281,93.7,GPS Signal Weak
12:15:43,561.08,112.52,33.831304,72.810608,41.5,
12:15:48,910.19,81.87,33.972474,73.204031,74.6,
12:15:54,260.39,31.42,33.928216,72.81197,82.6,GPS Signal Weak
12:16:01,855.79,109.38,33.913898,73.251456,22.2,Low Battery
12:16:06,671.75,115.86,33.776125,73.183349,72.3,
12:16:12,245.43,140.92,33.932122,73.046189,29.5,"Low Battery,High Speed"
12:16:18,491.77,64.54,33.732526,73.081728,64.4,
12:16:24,111.35,31.57,33.837315,72.807462,48.6,
12:16:29,146.1,50.61,33.79761,72.951453,67.5,
12:16:35,541.82,80.24,33.83973,72.952171,80.5,
12:16:40,376.15,40.34,33.601035,73.110192,84.5,
