Time,Altitude (m),Speed (km/h),Latitude,Longitude,Battery (%),Warnings
22:44:18,630.58,139.44,33.762482,72.80946,88.8,High Speed
22:44:19,246.34,19.88,33.541635,72.92475,47.5,
22:44:20,430.7,73.64,33.975531,73.088205,62.3,GPS Signal Weak
22:44:21,203.98,134.01,33.899687,72.87653,66.9,High Speed
22:44:22,567.36,120.03,33.59523,73.045423,96.6,High Speed
22:44:23,697.58,118.86,33.634043,73.15672,91.4,
22:44:23,690.62,19.43,33.919253,73.106085,87.5,
22:44:24,744.51,63.79,33.561946,73.046471,80.2,
22:44:24,648.77,88.13,33.738198,73.121351,69.1,
22:44:25,437.51,82.02,33.567937,73.168272,31.0,
22:44:25,198.54,42.65,33.694333,72.865111,61.1,
22:44:26,565.67,47.62,33.671085,72.919494,23.5,Low Battery
22:44:26,787.94,110.74,33.944784,72.955334,89.5,
22:44:27,857.85,67.08,33.829065,73.205315,40.8,GPS Signal Weak
22:44:27,469.73,131.32,33.784317,73.287431,63.3,High Speed
22:44:28,670.83,43.63,33.929309,73.104032,58.2,
22:44:28,755.37,124.28,33.796084,73.14474,20.7,"Low Battery,High Speed"
22:44:29,636.94,28.07,33.739847,72.960222,44.5,
22:44:29,917.83,40.1,33.597072,73.258211,80.8,
22:44:30,703.59,80.47,33.626326,73.191841,73.3,
22:44:30,210.72,61.74,33.826639,73.136352,82.2,
22:44:31,947.29,34.45,33.858815,73.226415,97.4,
22:44:31,277.67,13.2,33.564888,73.006278,20.6,Low Battery
22:44:32,199.75,144.38,33.987612,73.138434,54.8,High Speed
22:44:32,907.07,54.77,33.812446,73.103564,46.0,
22:44:33,593.53,142.31,33.514383,72.852051,84.8,High Speed
22:44:33,554.64,33.71,33.588032,73.215285,53.8,
22:44:34,654.62,17.68,33.731149,73.210032,98.6,
22:44:34,768.37,25.8,33.688471,73.059114,94.5,
22:44:35,158.39,107.67,33.500058,73.0575,73.0,
22:44:35,871.18,68.67,33.585771,72.966058,98.1,
22:44:36,434.09,10.45,33.80958,73.290832,52.5,
22:44:36,549.6,14.5,33.507592,73.218444,87.8,
22:44:37,496.34,136.21,33.586963,72.82309,96.7,High Speed
22:44:37,596.64,134.72,33.679797,73.256241,20.7,"Low Battery,High Speed,GPS Signal Weak"
22:44:38,263.96,79.04,33.601807,72.957771,71.4,
22:44:38,928.02,90.82,33.780199,72.900977,57.0,
22:44:39,777.45,85.16,33.717711,73.23734,91.5,GPS Signal Weak
22:44:39,298.76,16.77,33.936858,73.071907,79.1,
22:44:40,107.4,65.79,33.615373,73.022786,28.0,Low Battery
22:44:40,200.12,149.24,33.646759,72.808343,70.7,High Speed
22:44:41,177.2,125.9,33.926213,73.176136,98.6,High Speed
22:44:41,527.51,105.55,33.879051,73.030886,86.2,
22:44:42,817.07,148.32,33.955094,72.984856,27.9,"Low Battery,High Speed"
22:44:42,822.95,12.36,33.543103,73.160103,73.8,
22:44:43,702.82,64.34,33.75655,72.801278,88.1,
22:44:43,316.12,115.7,33.752807,73.162134,20.4,Low Battery
